Threads,Contention,Time (ms)
1,0,493.878
1,0.0625,862.39
1,0.125,592.623
1,0.1875,602.832
1,0.25,590.923
1,0.3125,620.098
1,0.375,618.913
1,0.4375,624.72
1,0.5,609.181
1,0.5625,614.652
1,0.625,709.374
1,0.6875,629.447
1,0.75,590.788
1,0.8125,629.833
1,0.875,655.083
1,0.9375,650.452
1,1,644.224
2,0,683.824
2,0.0625,823.195
2,0.125,764.659
2,0.1875,845.144
2,0.25,808.781
2,0.3125,892.706
2,0.375,945.749
2,0.4375,1228.7
2,0.5,1175.09
2,0.5625,1192.78
2,0.625,967.106
2,0.6875,1061.45
2,0.75,967.481
2,0.8125,1041.32
2,0.875,1019.82
2,0.9375,935.643
2,1,1350.05
3,0,847.78
3,0.0625,1094
3,0.125,1079.48
3,0.1875,1168.96
3,0.25,1186.41
3,0.3125,1337.58
3,0.375,1245.68
3,0.4375,1255.26
3,0.5,1277.01
3,0.5625,1284.24
3,0.625,1268.11
3,0.6875,1286.66
3,0.75,1285.39
3,0.8125,1272.92
3,0.875,1231.5
3,0.9375,1290.19
3,1,2049.95
4,0,1076.59
4,0.0625,1188.86
4,0.125,1205.71
4,0.1875,1292.55
4,0.25,1201.12
4,0.3125,1174.7
4,0.375,1160.27
4,0.4375,1173.65
4,0.5,1193.92
4,0.5625,1188.42
4,0.625,1136.34
4,0.6875,1180.73
4,0.75,1147.95
4,0.8125,1158.03
4,0.875,1103.99
4,0.9375,1154.93
4,1,1978.96
5,0,996.78
5,0.0625,1022.01
5,0.125,1042.27
5,0.1875,1039.23
5,0.25,1077.55
5,0.3125,1122.27
5,0.375,1068.33
5,0.4375,1052.29
5,0.5,993.488
5,0.5625,1064.64
5,0.625,1013.39
5,0.6875,1073.63
5,0.75,974.004
5,0.8125,999.461
5,0.875,1005.64
5,0.9375,1010.35
5,1,1939.01
6,0,873.082
6,0.0625,1002.71
6,0.125,980.497
6,0.1875,1003.66
6,0.25,963.457
6,0.3125,965.623
6,0.375,886.648
6,0.4375,961.174
6,0.5,1016.76
6,0.5625,944.473
6,0.625,957.609
6,0.6875,1003.05
6,0.75,1019.15
6,0.8125,1058.82
6,0.875,1047.68
6,0.9375,1036.63
6,1,2200.9
7,0,899.569
7,0.0625,962.708
7,0.125,1033.14
7,0.1875,960.67
7,0.25,1050.43
7,0.3125,922.477
7,0.375,955.245
7,0.4375,965.368
7,0.5,901.173
7,0.5625,977.972
7,0.625,913.613
7,0.6875,904.637
7,0.75,883.791
7,0.8125,941.283
7,0.875,1120.04
7,0.9375,1002.79
7,1,1811.15
8,0,894.208
8,0.0625,905.489
8,0.125,922.049
8,0.1875,969.541
8,0.25,966.519
8,0.3125,893.184
8,0.375,932.814
8,0.4375,961.672
8,0.5,898.125
8,0.5625,909.425
8,0.625,919.997
8,0.6875,905.133
8,0.75,958.235
8,0.8125,931.25
8,0.875,959.774
8,0.9375,936.863
8,1,2852.83
9,0,865.003
9,0.0625,905.014
9,0.125,872.379
9,0.1875,899.412
9,0.25,891.364
9,0.3125,911.021
9,0.375,861.138
9,0.4375,938.029
9,0.5,947.732
9,0.5625,877.046
9,0.625,926.555
9,0.6875,928.782
9,0.75,958.007
9,0.8125,908.329
9,0.875,951.224
9,0.9375,980.296
9,1,2151.48
10,0,874.417
10,0.0625,874.346
10,0.125,911.415
10,0.1875,837.061
10,0.25,866.454
10,0.3125,909.787
10,0.375,842.042
10,0.4375,868.905
10,0.5,836.315
10,0.5625,838.181
10,0.625,861.843
10,0.6875,913.921
10,0.75,910.143
10,0.8125,883.127
10,0.875,854.606
10,0.9375,895.783
10,1,2098.78
11,0,813.118
11,0.0625,853.813
11,0.125,825.288
11,0.1875,820.93
11,0.25,923.522
11,0.3125,896.05
11,0.375,824.136
11,0.4375,932.779
11,0.5,806.198
11,0.5625,847.575
11,0.625,924.161
11,0.6875,858.978
11,0.75,895.181
11,0.8125,908.131
11,0.875,931.717
11,0.9375,974.187
11,1,1532.72
12,0,810.128
12,0.0625,864.552
12,0.125,862.996
12,0.1875,847.402
12,0.25,843.002
12,0.3125,889.682
12,0.375,844.354
12,0.4375,810.92
12,0.5,831.407
12,0.5625,862.644
12,0.625,858.162
12,0.6875,837.489
12,0.75,811.431
12,0.8125,878.644
12,0.875,887.509
12,0.9375,935.32
12,1,2286.46
13,0,769.184
13,0.0625,849.641
13,0.125,855.103
13,0.1875,840.24
13,0.25,837.198
13,0.3125,837.52
13,0.375,835.278
13,0.4375,842.342
13,0.5,840.957
13,0.5625,870.258
13,0.625,900.049
13,0.6875,842.147
13,0.75,886.132
13,0.8125,900.815
13,0.875,897.624
13,0.9375,898.672
13,1,2060.56
14,0,792.214
14,0.0625,814.675
14,0.125,820.887
14,0.1875,821.802
14,0.25,881.355
14,0.3125,823.135
14,0.375,856.194
14,0.4375,780.358
14,0.5,816.898
14,0.5625,809.891
14,0.625,793.959
14,0.6875,825.126
14,0.75,857.93
14,0.8125,803.651
14,0.875,846.564
14,0.9375,883.579
14,1,2282.48
15,0,771.29
15,0.0625,808.047
15,0.125,846.359
15,0.1875,828.378
15,0.25,816.575
15,0.3125,786.531
15,0.375,817.482
15,0.4375,852.118
15,0.5,806.487
15,0.5625,900.685
15,0.625,851.892
15,0.6875,808.35
15,0.75,863.895
15,0.8125,869.094
15,0.875,867.117
15,0.9375,967.548
15,1,2080.19
16,0,891.933
16,0.0625,754.451
16,0.125,819.798
16,0.1875,816.114
16,0.25,836.162
16,0.3125,838.614
16,0.375,844.839
16,0.4375,813.65
16,0.5,768.451
16,0.5625,815.97
16,0.625,868.123
16,0.6875,816.186
16,0.75,907.349
16,0.8125,831.88
16,0.875,841.754
16,0.9375,864.163
16,1,2430.85
17,0,788.792
17,0.0625,784.132
17,0.125,731.875
17,0.1875,871.87
17,0.25,819.351
17,0.3125,840.435
17,0.375,789.52
17,0.4375,814.053
17,0.5,845.057
17,0.5625,848.099
17,0.625,806.589
17,0.6875,824.095
17,0.75,846.908
17,0.8125,808.13
17,0.875,925.08
17,0.9375,928.724
17,1,2192.47
18,0,824.32
18,0.0625,723.315
18,0.125,769.142
18,0.1875,814.368
18,0.25,813.647
18,0.3125,817.11
18,0.375,825.824
18,0.4375,850.058
18,0.5,841.285
18,0.5625,759.286
18,0.625,807.228
18,0.6875,789.321
18,0.75,850.326
18,0.8125,819.532
18,0.875,767.899
18,0.9375,897.442
18,1,2502.16
19,0,705.155
19,0.0625,744.12
19,0.125,814.922
19,0.1875,753.746
19,0.25,832.181
19,0.3125,737.612
19,0.375,798.931
19,0.4375,824.459
19,0.5,760.152
19,0.5625,716.51
19,0.625,796.033
19,0.6875,759.848
19,0.75,820.041
19,0.8125,826.409
19,0.875,770
19,0.9375,834.789
19,1,2148.52
20,0,807.711
20,0.0625,788.657
20,0.125,833.893
20,0.1875,840.986
20,0.25,816.039
20,0.3125,760.262
20,0.375,778.064
20,0.4375,778.75
20,0.5,780.756
20,0.5625,803.802
20,0.625,753.237
20,0.6875,762.474
20,0.75,795.843
20,0.8125,824.197
20,0.875,819.043
20,0.9375,786.325
20,1,2268.55
21,0,750.283
21,0.0625,771.649
21,0.125,797.18
21,0.1875,803.553
21,0.25,775.767
21,0.3125,808.576
21,0.375,794.408
21,0.4375,801.85
21,0.5,734.1
21,0.5625,779.063
21,0.625,839.991
21,0.6875,764.46
21,0.75,793.135
21,0.8125,799.778
21,0.875,783.588
21,0.9375,890.083
21,1,2033.51
22,0,717.213
22,0.0625,762.599
22,0.125,826.17
22,0.1875,762.215
22,0.25,808.557
22,0.3125,737.53
22,0.375,784.499
22,0.4375,754.81
22,0.5,779.234
22,0.5625,863.989
22,0.625,786.952
22,0.6875,741.351
22,0.75,786.526
22,0.8125,827.995
22,0.875,797.963
22,0.9375,851.793
22,1,1658.43
23,0,735.37
23,0.0625,739.647
23,0.125,780.2
23,0.1875,815.207
23,0.25,775.024
23,0.3125,741.843
23,0.375,792.045
23,0.4375,797.437
23,0.5,735.338
23,0.5625,827.761
23,0.625,804.807
23,0.6875,787.535
23,0.75,785.888
23,0.8125,792.666
23,0.875,766.582
23,0.9375,800.841
23,1,2015.72
24,0,701.267
24,0.0625,733.152
24,0.125,791.567
24,0.1875,776.883
24,0.25,753.573
24,0.3125,791.081
24,0.375,767.239
24,0.4375,778.35
24,0.5,750.924
24,0.5625,756.477
24,0.625,756.504
24,0.6875,744.897
24,0.75,768.187
24,0.8125,779.877
24,0.875,780.005
24,0.9375,882.689
24,1,2331.04
25,0,724.721
25,0.0625,768.112
25,0.125,769.641
25,0.1875,704.797
25,0.25,770.735
25,0.3125,778.677
25,0.375,730.348
25,0.4375,721.78
25,0.5,745.796
25,0.5625,746.723
25,0.625,778.665
25,0.6875,769.527
25,0.75,744.325
25,0.8125,772.62
25,0.875,782.616
25,0.9375,802.758
25,1,2086.01
26,0,741.724
26,0.0625,742.105
26,0.125,764.26
26,0.1875,773.082
26,0.25,826.084
26,0.3125,750.41
26,0.375,744.19
26,0.4375,687.018
26,0.5,692.693
26,0.5625,755.138
26,0.625,740.589
26,0.6875,710.916
26,0.75,755.142
26,0.8125,749.252
26,0.875,710.988
26,0.9375,788.22
26,1,2092.47
27,0,681.458
27,0.0625,714.46
27,0.125,737.916
27,0.1875,744.205
27,0.25,735.816
27,0.3125,730.909
27,0.375,738.718
27,0.4375,735.801
27,0.5,725.018
27,0.5625,726.085
27,0.625,734.478
27,0.6875,773.917
27,0.75,757.438
27,0.8125,837.215
27,0.875,749.799
27,0.9375,769.705
27,1,1823.07
28,0,740.263
28,0.0625,739.731
28,0.125,731.67
28,0.1875,718.951
28,0.25,733.099
28,0.3125,769.937
28,0.375,733.244
28,0.4375,726.239
28,0.5,686.415
28,0.5625,751.02
28,0.625,768.156
28,0.6875,753.977
28,0.75,708.461
28,0.8125,779.429
28,0.875,714.926
28,0.9375,784.968
28,1,1705.69
29,0,722.915
29,0.0625,707.974
29,0.125,741.709
29,0.1875,754.397
29,0.25,710.861
29,0.3125,748.682
29,0.375,722.157
29,0.4375,703.482
29,0.5,681.786
29,0.5625,670.611
29,0.625,672.654
29,0.6875,750.251
29,0.75,720.033
29,0.8125,709.606
29,0.875,717.303
29,0.9375,763.607
29,1,2212.69
30,0,702.302
30,0.0625,732.679
30,0.125,771.112
30,0.1875,754.359
30,0.25,707.382
30,0.3125,747.976
30,0.375,698.76
30,0.4375,827.627
30,0.5,737.446
30,0.5625,750.76
30,0.625,757.88
30,0.6875,718.056
30,0.75,690.757
30,0.8125,775.734
30,0.875,718.622
30,0.9375,780.666
30,1,2290.46
31,0,771.758
31,0.0625,739.981
31,0.125,763.714
31,0.1875,775.216
31,0.25,781.664
31,0.3125,732.615
31,0.375,746.749
31,0.4375,719.841
31,0.5,673.093
31,0.5625,747.439
31,0.625,750.583
31,0.6875,732.709
31,0.75,697.446
31,0.8125,788.51
31,0.875,753.621
31,0.9375,785.71
31,1,2113.86
32,0,730.582
32,0.0625,696.809
32,0.125,709.937
32,0.1875,704.062
32,0.25,719.694
32,0.3125,718.111
32,0.375,725.706
32,0.4375,709.748
32,0.5,703.152
32,0.5625,694.711
32,0.625,691.309
32,0.6875,706.524
32,0.75,670.654
32,0.8125,779.323
32,0.875,744.22
32,0.9375,730.392
32,1,1922.78