Threads,Contention,Time (ms) (r/w)
1,0,888.044
1,0.24999,1085.05
1,0.49999,984.394
1,0.74999,983.353
1,0.99999,1054.51
4,0,1915.75
4,0.24999,2020.48
4,0.49999,2025.93
4,0.74999,1992.03
4,0.99999,3305.65
16,0,1861.86
16,0.24999,1663.38
16,0.49999,1603.1
16,0.74999,1657.74
16,0.99999,2427.85
Threads,Contention,Time (ms) (r/w)
2,0,1868.86
2,0.24999,2040.37
2,0.49999,1994.78
2,0.74999,1975.8
2,0.99999,2919.43
8,0,1878.19
8,0.24999,1788.38
8,0.49999,1972.83
8,0.74999,2117.42
8,0.99999,2757.26
32,0,1820.05
32,0.24999,1588.78
32,0.49999,1755.04
32,0.74999,1928.6
32,0.99999,2380.38