Threads,Contention,Time (ms) (Read-only)
1,0,1566.15
1,0.24999,1507.39
1,0.49999,1483.61
1,0.74999,1471.9
1,0.99999,1469.27
4,0,7005.14
4,0.24999,7693.67
4,0.49999,8582.48
4,0.74999,8307.51
4,0.99999,9339.61
16,0,7151.81
16,0.24999,6944.67
16,0.49999,7486.51
16,0.74999,7823.46
16,0.99999,8290.75
Threads,Contention,Time (ms) (Read-only)
2,0,1913.96
2,0.24999,1641.19
2,0.49999,1875.18
2,0.74999,1931.36
2,0.99999,1967.68
8,0,7635.44
8,0.24999,7539.63
8,0.49999,7908.03
8,0.74999,8077.23
8,0.99999,8673.76
32,0,6439.81
32,0.24999,5868.06
32,0.49999,6378.24
32,0.74999,6432.68
32,0.99999,7042.27